point,temperature,humidity,THI,wind
서울,25.6,30,70,2.1
백령도,18.4,62,64,5.2
인천,20.8,54,67,2.9
수원,25.0,41,71,2.4
동두천,24.9,34,70,1.7
파주,25.1,39,71,2.2
강화,20.0,56,66,5.0
양평,25.5,32,70,2.9
이천,25.6,28,70,2.9
북춘천,24.6,36,70,3.4
북강릉,19.9,56,65,3.1
울릉도,16.8,77,62,1.7
속초,19.1,75,65,2.9
철원,23.9,37,69,2.2
대관령,17.9,49,62,3.3
춘천,25.7,39,71,2.1
강릉,22.7,41,68,2.1
동해,19.5,77,66,3.6
원주,23.4,36,68,1.6
영월,24.2,34,69,3.1
인제,24.3,31,69,2.7
홍천,25.4,25,70,3.4
태백,19.6,43,64,3.6
정선군,23.0,32,68,0.6
서산,23.6,49,70,2.0
청주,24.3,33,69,2.7
대전,25.1,37,71,1.8
충주,24.4,32,69,3.2
추풍령,23.0,35,68,1.6
홍성(예),24.3,46,70,3.4
제천,24.2,32,69,3.6
보은,23.7,28,68,2.9
천안,23.5,35,68,3.2
보령,21.4,56,67,1.9
부여,23.9,37,69,0.9
금산,23.7,30,68,2.4
전주,24.9,44,71,2.0
광주,24.0,35,69,1.8
목포,22.8,51,69,4.4
여수,22.8,49,69,5.1
흑산도,19.2,93,66,1.6
군산,21.8,55,68,3.8
완도,23.2,45,69,1.7
고창,22.7,53,69,5.8
순천,22.5,40,68,2.7
진도(첨찰산),22.2,48,68,3.4
부안,22.9,44,69,3.3
임실,22.8,40,68,1.3
정읍,23.8,47,70,3.3
남원,23.8,35,69,2.5
장수,22.0,33,67,4.2
고창군,23.7,48,70,3.3
영광군,22.4,40,68,5.3
순창군,23.5,38,69,3.1
보성군,23.7,34,69,2.3
강진군,24.1,33,69,4.2
장흥,25.5,33,71,3.9
해남,24.6,40,70,2.3
고흥,24.4,34,69,1.1
광양시,24.6,43,71,2.1
진도군,21.9,58,68,2.9
제주,20.7,60,67,3.7
고산,19.1,74,65,5.8
성산,23.1,33,68,3.8
서귀포,24.0,43,70,2.5
안동,25.0,32,70,2.9
포항,19.0,83,65,1.9
대구,25.7,31,71,2.2
울산,19.7,70,66,3.8
창원,20.6,63,67,4.7
부산,20.2,66,66,3.5
울진,17.6,84,63,3.4
상주,25.0,32,70,1.7
통영,20.0,71,66,5.3
진주,23.8,30,68,1.4
김해시,21.9,60,68,3.8
북창원,22.8,50,69,1.2
양산시,21.4,63,68,2.6
의령군,25.1,40,71,2.5
함양군,23.3,38,69,0.2
봉화,22.0,38,67,2.4
영주,23.0,36,68,3.9
문경,25.5,26,70,2.6
청송군,17.9,71,63,2.3
영덕,19.4,57,65,4.0
의성,25.7,25,70,2.3
구미,25.7,32,71,2.2
영천,21.8,47,67,3.3
경주시,23.8,49,70,2.2
거창,22.7,38,68,1.5
합천,25.1,32,70,1.0
밀양,24.7,34,70,1.2
산청,24.8,41,71,1.5
거제,23.1,57,70,2.7
남해,24.5,40,70,1.8
